id,repo,url,domain,cluster,initial_action,skills_first_fit,mcp_fit,primary_integration_surface,security_posture,license_status,maintenance_status,recommended_next_step
EXT-001,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,token-economy skill/plugin,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,"extract installer/profile matrix, terseness skill pattern, benchmark/eval/hook ideas"
EXT-002,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,codebase memory MCP,mcp,wrap,medium,medium,mcp/,review-required,verify-before-use,verify-before-use,compare with graphify/code-review-graph; keep MCP only if persistent live query server beats skill-generated graph
EXT-003,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,code-review knowledge graph,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,reference code graph review patterns and fixtures
EXT-004,es617/claude-replay,https://github.com/es617/claude-replay,session replay exporter,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session replay artifacts for run graph/observability lane
EXT-005,Th0rgal/open-ralph-wiggum,https://github.com/Th0rgal/open-ralph-wiggum,ralph loop orchestrator,orchestration,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,extract loop/status/prompt-file patterns; avoid opaque automation by default
EXT-006,samber/cc-skills-golang,https://github.com/samber/cc-skills-golang,language skill pack,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,skill quality benchmark for Go; use as external skill candidate
EXT-007,rivet-dev/sandbox-agent,https://github.com/rivet-dev/sandbox-agent,sandbox runtime/control API,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,sandbox orchestration pattern for CI/evals; security review required
EXT-008,Prat011/awesome-llm-skills,https://github.com/Prat011/awesome-llm-skills,awesome skill list,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,discovery input for registry intake
EXT-009,jhlee0409/claude-code-history-viewer,https://github.com/jhlee0409/claude-code-history-viewer,Claude history desktop viewer,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session browser UX ingredients
EXT-010,remorses/kimaki,https://github.com/remorses/kimaki,OpenCode Discord UI,ui,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,remote team chat UI patterns; avoid direct integration until auth reviewed
EXT-011,Soju06/codex-lb,https://github.com/Soju06/codex-lb,Codex/ChatGPT account LB dashboard,ui,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,OpenAI-compatible proxy/dashboard patterns; high auth risk
EXT-012,kbwo/ccmanager,https://github.com/kbwo/ccmanager,multi-agent session manager,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session/worktree profile management patterns
EXT-013,Ataraxy-Labs/opensessions,https://github.com/Ataraxy-Labs/opensessions,tmux agent session sidebar,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,local HTTP API + session status panel pattern
EXT-014,fynnfluegge/agtx,https://github.com/fynnfluegge/agtx,blackboard/task coordination,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,blackboard from idea to merge; integrate with task graph UX
EXT-015,rynfar/meridian,https://github.com/rynfar/meridian,Claude Max bridge/proxy,external,reference-only,low,low,wagents/ + planning/ + docs/,quarantine-required,verify-before-use,verify-before-use,auth bridge pattern; avoid credential sharing integration
EXT-016,xintaofei/codeg,https://github.com/xintaofei/codeg,agent session aggregator,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session aggregation desktop/server patterns
EXT-017,griffinmartin/opencode-claude-auth,https://github.com/griffinmartin/opencode-claude-auth,OpenCode Claude auth plugin,external,reference-only,low,low,wagents/ + planning/ + docs/,quarantine-required,verify-before-use,verify-before-use,credential re-use pattern; high security risk
EXT-018,NeoLabHQ/context-engineering-kit,https://github.com/NeoLabHQ/context-engineering-kit,context engineering skills,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,evaluate skills for context quality and skill registry
EXT-019,rohitg00/skillkit,https://github.com/rohitg00/skillkit,portable skill installer/translator,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,compare with npx skills + wagents; extract translation patterns
EXT-020,first-fluke/oh-my-agent,https://github.com/first-fluke/oh-my-agent,portable .agents harness,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,harness projection patterns
EXT-021,777genius/claude_agent_teams_ui,https://github.com/777genius/claude_agent_teams_ui,multi-agent kanban/control plane,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,"team UI, task logs, review workflow, context monitoring"
EXT-022,agent-sh/agentsys,https://github.com/agent-sh/agentsys,agent package system,skills,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,plugins/agents/skills cataloging patterns
EXT-023,happier-dev/happier,https://github.com/happier-dev/happier,encrypted multi-agent client,external,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,privacy model and UX patterns
EXT-024,guanyang/antigravity-skills,https://github.com/guanyang/antigravity-skills,Antigravity skill pack,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,Antigravity support tier candidate
EXT-025,kdcokenny/ocx,https://github.com/kdcokenny/ocx,OpenCode extension manager,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,OpenCode isolated profile manager
EXT-026,joelhooks/swarm-tools,https://github.com/joelhooks/swarm-tools,OpenCode swarm coordination,orchestration,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,issue tracking / learning capabilities
EXT-027,hosenur/portal,https://github.com/hosenur/portal,OpenCode web UI,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,mobile-first UI and isolated workspace patterns
EXT-028,proxysoul/soulforge,https://github.com/proxysoul/soulforge,graph-powered code intelligence,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,compare code graph memory strategies
EXT-029,Human-Agent-Society/CORAL,https://github.com/Human-Agent-Society/CORAL,multi-agent self-evolution research infra,orchestration,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,"orchestration/eval pattern, not direct production"
EXT-030,Weizhena/Deep-Research-skills,https://github.com/Weizhena/Deep-Research-skills,deep research skill,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,external skill candidate; compare to repo research skill
EXT-031,peters/horizon,https://github.com/peters/horizon,terminal board/canvas,ui,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,TUI/dashboard canvas pattern
EXT-032,muxy-app/muxy,https://github.com/muxy-app/muxy,terminal runtime,ui,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,terminal UX reference
EXT-033,0xranx/OpenContext,https://github.com/0xranx/OpenContext,personal context store,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,context store and desktop GUI patterns
EXT-034,f/agentlytics,https://github.com/f/agentlytics,agent analytics dashboard,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,metrics dashboard + usage analytics
EXT-035,kdcokenny/opencode-worktree,https://github.com/kdcokenny/opencode-worktree,OpenCode worktree manager,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,worktree profile patterns
EXT-036,cortexkit/opencode-magic-context,https://github.com/cortexkit/opencode-magic-context,OpenCode context optimizer,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,context compression/selection patterns
EXT-037,borski/travel-hacking-toolkit,https://github.com/borski/travel-hacking-toolkit,domain skill/toolkit,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,domain-specific skill packaging example
EXT-038,neiii/bridle,https://github.com/neiii/bridle,unknown/agent adjacent,external,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,verify repo; do not integrate until reviewed
EXT-039,instavm/open-skills,https://github.com/instavm/open-skills,open skills registry,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,skill registry discovery source
EXT-040,shekohex/opencode-pty,https://github.com/shekohex/opencode-pty,OpenCode PTY integration,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,PTY/session driver pattern
EXT-041,Microck/opencode-studio,https://github.com/Microck/opencode-studio,OpenCode studio UI,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,OpenCode UI/control surface pattern
EXT-042,swarmclawai/swarmvault,https://github.com/swarmclawai/swarmvault,swarm memory/vault,context-memory,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,memory/security evaluation
EXT-043,zenobi-us/opencode-skillful,https://github.com/zenobi-us/opencode-skillful,OpenCode skill integration,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,OpenCode skills support reference
EXT-044,zaxbysauce/opencode-swarm,https://github.com/zaxbysauce/opencode-swarm,OpenCode swarm,orchestration,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,swarm task orchestration
EXT-045,eqtylab/cupcake,https://github.com/eqtylab/cupcake,provenance/verifiable AI artifacts,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,provenance/signing lane
EXT-046,opgginc/opencode-bar,https://github.com/opgginc/opencode-bar,OpenCode status bar,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,status bar UX
EXT-047,vivy-company/aizen,https://github.com/vivy-company/aizen,agent tool/UX,external,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,verify license/security/domain
EXT-048,vbgate/opencode-mystatus,https://github.com/vbgate/opencode-mystatus,OpenCode status plugin,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session/status UX
EXT-049,AkaraChen/aghub,https://github.com/AkaraChen/aghub,agent hub/catalog,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,catalog discovery UX
EXT-050,code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,agent profile bundle,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,profile/bundle conventions
EXT-051,Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,Claude Code bundle,skills,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,Claude skill/profile conventions
EXT-052,kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,Obsidian skill pack,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,personal knowledge skill candidate
EXT-053,iOfficeAI/AionUi,https://github.com/iOfficeAI/AionUi,agent UI/control plane,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,"UI patterns, verify license/security"
EXT-054,manaflow-ai/cmux,https://github.com/manaflow-ai/cmux,multi-agent tmux/control,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,session multiplexer pattern
EXT-055,mksglu/context-mode,https://github.com/mksglu/context-mode,context reduction/runtime,context-memory,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,context-aware execution and SQLite continuity
EXT-056,humanlayer/humanlayer,https://github.com/humanlayer/humanlayer,human-in-the-loop approval,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,approval/human escalation pattern
