harness_id,label,support_tier,surface_kind,owner_change,projection_surfaces,fixture_status,promotion_blocker
claude-code,Claude Code,repo-present-validation-required,cli,agents-c04-claude-harness,instructions;skills;agents;mcp;plugins;hooks,fixture-plan-only,"Requires executable plugin, skills, MCP, and rollback fixtures before validated Claude Code support claims."
claude-desktop,Claude Desktop,repo-present-validation-required,desktop-app,agents-c04-claude-harness,mcp,fixture-plan-only,"Requires global MCP config merge, redaction, and rollback fixtures; no default skill projection claim is made."
chatgpt,ChatGPT,repo-present-validation-required,desktop-or-web-app,agents-c04-openai-harness,mcp;plugins,docs-ledger-required,Requires first-party ChatGPT MCP/app connector evidence and local fixture coverage before support claims.
codex,Codex,repo-present-validation-required,cli,agents-c04-openai-harness,instructions;skills;mcp;plugins;hooks,fixture-plan-only,"Requires executable Codex plugin, config, skills, and rollback fixtures before validated support claims."
github-copilot-web,GitHub Copilot Web and Coding Agent,repo-present-validation-required,web-cloud-agent,agents-c04-copilot-harness,instructions;agents;mcp,fixture-plan-only,"Requires web/coding-agent fixture evidence and proof that installed-skill inventory is discovered, not inferred."
github-copilot-cli,GitHub Copilot CLI,repo-present-validation-required,cli,agents-c04-copilot-harness,instructions;skills;agents;mcp;hooks,fixture-plan-only,"Requires CLI config, MCP, and installed-skill inventory fixtures before validated support claims."
opencode,OpenCode,repo-present-validation-required,cli-tui,agents-c04-opencode-gemini-harness,instructions;skills;agents;mcp;plugins;hooks;telemetry,fixture-plan-only,"Requires executable model-neutral, plugin placement, DCP, credential guard, and rollback fixtures before validated suppo"
gemini-cli,Gemini CLI,repo-present-validation-required,cli,agents-c04-opencode-gemini-harness,instructions;skills;mcp;plugins,fixture-plan-only,"Requires Gemini CLI instruction, skills, MCP, and OpenSpec wrapper fixtures before validated support claims."
antigravity,Antigravity,repo-present-validation-required,desktop-or-cli-agent,agents-c04-opencode-gemini-harness,instructions;skills;mcp,docs-ledger-required,Requires first-party Antigravity evidence and separate MCP merge fixtures before validated support claims.
cursor-editor,Cursor Editor,repo-present-validation-required,editor,agents-c04-cursor-harness,instructions;skills;agents;mcp;plugins,fixture-plan-only,"Requires Cursor editor rules, skills, MCP, and rollback fixtures before validated support claims."
cursor-agent-web,Cursor Agent Web,planned-research-backed,web-cloud-agent,agents-c04-cursor-harness,,docs-ledger-required,Requires first-party Cursor Agent Web evidence and cloud-agent fixture coverage; do not inherit Cursor Editor behavior b
cursor-agent-cli,Cursor Agent CLI,planned-research-backed,cli,agents-c04-cursor-harness,,docs-ledger-required,Requires first-party Cursor Agent CLI evidence and CLI config fixture coverage; do not inherit Cursor Editor behavior by
perplexity-desktop,Perplexity Desktop,experimental,desktop-app,agents-c04-experimental-harnesses,,docs-ledger-required,Requires first-party Perplexity Desktop evidence and local config discovery before any skill or MCP projection claim.
cherry-studio,Cherry Studio,experimental,desktop-app,agents-c04-experimental-harnesses,mcp,fixture-plan-only,"Requires Cherry Studio MCP import, global config merge, and rollback fixtures before validated support claims."
crush,Crush,repo-present-validation-required,cli,agents-c04-experimental-harnesses,instructions;skills;mcp,fixture-plan-only,Requires an explicit retain-vs-experimental decision plus config and skills fixtures before validated support claims.
grok-build,Grok Build,repo-present-validation-required,cli,agents-c04-grok-harness,instructions;skills;agents;mcp;plugins,fixture-plan-only,"Requires executable Grok config merge, skills install alias, platform filter, and rollback fixtures before validated sup"
