id,cluster,title,owner_team,blocking_dependencies,parallelizable_cluster,estimated_complexity,risk_level,merge_risk_score,ci_gates,produced_artifacts
C00-001,C00,Inventory latest repository tree and classify source/generated files,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-001.md
C00-002,C00,"Parse pyproject, package metadata, Makefile, uv.lock, and CLI entrypoints",platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-002.md
C00-003,C00,Inventory skills directory and validate every SKILL.md candidate,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-003.md
C00-004,C00,Inventory MCP configs and normalize current MCP server records,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-004.md
C00-005,C00,Inventory harness-specific directories and claim support tiers,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-005.md
C00-006,C00,Detect README/raw-rendered quickstart drift and command inconsistencies,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-006.md
C00-007,C00,Inventory docs and AI instruction files,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-007.md
C00-008,C00,Inventory tests/CI workflows/pre-commit quality gates,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-008.md
C00-009,C00,Inventory existing OpenSpec assets without overwriting them,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-009.md
C00-010,C00,Generate repo-sync inventory JSON,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-010.md
C00-011,C00,Generate initial drift report between planning bundle and live repo,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-011.md
C00-012,C00,Reconcile OpenSpec active changes with planning docs,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-012.md
C00-013,C00,Create OpenSpec-to-task-graph mapping table,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-013.md
C00-014,C00,Freeze support-tier vocabulary,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-014.md
C00-015,C00,Publish repo-sync analysis doc,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-015.md
C00-016,C00,Define branch/PR naming convention for overhaul work,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-016.md
C00-017,C00,Create conflict-surface map for generated docs and harness configs,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-017.md
